"Sample","qacE_1_X68232","aadA11_2_AJ567827","aadA10_2_AM087405","aadA2_1_NC_010870","aph(6)-Id_1_M28829","ant(2'')-Ia_13_DQ176450","aph(3')-Ia_7_X62115","aac(3)-IIa_1_X51534","ant(3'')-Ia_1_X02340","aadA5_1_AF137361","aadA7_1_AF224733","aadA9_1_AJ420072","aadA11_1_AY144590","aadA13_1_AY713504","aadA16_1_EU675686","aadA24_1_AM711129","ant(6)-Ia_2_KF421157","aph(3')-III_1_M26832","ant(9)-Ia_1_X02588","aph(3'')-Ib_2_AF024602","str_1_X92946","blaZ_12_M15195","blaCARB-2_1_M69058","erm(A)_1_X03216","erm(B)_10_U86375","erm(C)_12_Y09003","erm(F)_3_M17808","erm(X)_2_X51472","erm(X)_4_NC_005206","mef(A)_3_AF227520","mef(A)_4_HG423652","msr(D)_2_AF274302","msr(D)_3_AF227520","msr(E)_1_FR751518","ole(C)_1_L06249","lnu(A)_1_M14039","lnu(F)_3_AJ561197","mph(B)_1_D85892","mph(E)_1_DQ839391","lnu(G)_1_KX470419","mef(A)_1_AJ971089","mef(A)_2_U83667","catB10_1_AJ878850","cat86_1_K00544","cat(pC194)_1_NC_002013","floR_2_AF118107","fexA_1_AJ549214","catA1_1_V00622","cmx_1_U85507","cfr_1_AM408573","sul1_9_AY963803","sul2_2_AY034138","tet(33)_1_AY255627","tet(31)_1_GQ283908","tet(A)_4_AJ517790","tet(G)_1_AF133139","tet(G)_2_AF133140","tet(L)_1_HM235948","tet(L)_2_M29725","tet(Z)_1_AF121000","tet(Y)_1_EF495198","tet(X)_2_M37699","tet(W)_5_AJ427422","tetB(P)_1_NC_010937","dfrK_2_FN677369","dfrA20_1_AJ605332","dfrB3_1_X72585","dfrA1_5_EU089668","dfrA1_8_X00926","dfrD_1_Z50141","aph(3'')-Ib_4_AF313472","ant(2'')-Ia_1_X04555","aph(3')-Ia_3_EF015636","aac(3)-IId_1_EU022314","aadA1_4_JQ480156","aadA4_1_Z50802","aadA10_1_U37105","ant(6)-Ib_1_FN594949","aph(4)-Ia_1_V01499","aac(3)-IIa_3_X13543","blaOXA-347_1_ACWG01000053","blaOXA-2_1_DQ112222","blaOXA-58_1_AY665723","cfxA3_1_AF472622","blaIMP-27_1_JF894248","blaOXA-20_2_AF024602","blaCARB-16_1_HF953351","dldHA2X_1_AL939117","erm(Q)_1_L22689","erm(X)_3_U21300","erm(35)_1_AF319779","lnu(C)_1_AY928180","lnu(D)_1_EF452177","lnu(F)_1_EU118119","erm(33)_1_AJ579365","lnu(B)_2_JQ861959","mph(N)_1_KF648874","lsa(E)_1_JX560992","cmlA1_1_M64556","catQ_1_M55620","tet(39)_1_KT346360","tet(44)_1_NZ_ABDU01000081","tet(40)_1_FJ158002","tet(36)_1_AJ514254","tet(T)_2_AY660530","tet(A)_6_AF534183","tet(C)_2_AY046276","tet(B)_1_AP000342","tet(H)_3_Y15510","tet(M)_12_FR671418","tet(Q)_1_L33696","tetA(P)_2_L20800","tet(X5)_1_CP040912","dfrA5_1_X12868","dfrB7_1_DQ993182","dfrA16_2_AF174129","dfrA7_1_AB161450","dfrA36_1_CP038791","grmO_1_AY524043","aadD_2_M19465","aph(3')-IIa_2_V00618","ant(6)-Ia_3_KF864551","aph(3')-Ia_1_V00359","aac(3)-IV_1_DQ241380","blaTEM-1A_1_HM749966","blaPME-1_1_HQ541434","catB3_2_U13880","tet(33)_2_DQ390458","tet(42)_1_EU523697","tet(L)_5_X08034","tet(Q)_2_X58717","dfrA14_1_KF921535","WP_037458010.1 WP_037458010.1 DNA starvation/stationary phase protection protein [Skermanella stibiiresistens] [dpsA]","aadA13_2_NC010643","aph(3')-Ia_10_EU855787","aadA2_2_JQ364967","aadA3_1_AF047479","aadA12_1_AY665771","str_2_FN435330","blaOXA-366_1_KP050485","blaTEM-1B_1_AY458016","blaIMP-33_1_JN848782","blaOXA-282_1_APQS01000019","blaOXA-285_1_APRY01000059","erm(A)_2_AF002716","erm(F)_4_M62487","erm(36)_1_AF462611","cmr_1_U43535","catB2_1_AF047479","tet(X)_1_GU014535","tet(O/W)-1_1_AY485126","tet(X3)_1_MK134375","dfrA1_12_AY141977","dfrA7_5_AJ419170","ant(2'')-Ia_9_HM367610","cfxA5_1_AY769934","dfrA14_4_AF393510","ant(2'')-Ia_6_AJ871915","aadA1_5_JX185132","blaOCH-6_1_AJ295344","fosA2_1_EU487198","erm(34)_1_AY234334","sul1_37_AF188331","dfrA1_10_AF203818","tet(T)_1_L42544","blaTEM-122_1_AY307100","cfxA_1_U38243","aadA14_1_AJ884726","aadA17_1_FJ460181","aph(3')-Id_1_Z48231","aadA8b_1_AY139603","blaCARB-5_1_AF135373","VanHOX_1_KF478993","qnrB10_2_HM439644","sul1_5_EU780013","sul1_23_AJ621187","tet(K)_1_U38656","dfrA14_5_DQ388123","aadA6_1_AF140629","tet(45)_1_JF837331","erm(G)_1_M15332","ant(4')-Ib_1_AJ506108","erm(O)_1_M74717","blaOCH-7_1_AJ295345","erm(42)_1_FR734406","floR_1_AF071555","tet(X)_3_AB097942","tet(W)_2_AY049983","aph(6)-Id_3_AB109805","aac(3)-IIc_1_X54723","aac(6')-31_1_AM283489","blaACT-12_1_JX440355","blaIMP-13_1_AJ550807","dfrB3_2_FM877478","tet(C)_3_AF055345","aadK_1_M26879","tet(X6)_1_MN507533","aph(2'')-Ic_1_U51479","aph(3')-VIa_1_X07753","blaOXA-20_1_AY307114","blaTEM-1C_1_FJ560503","cat_5_U35036","tet(M)_8_X04388","aadA1_3_JQ414041","aadA15_1_DQ393783","blaOXA-2_2_GQ466184","blaACI-1_1_AJ007350","blaCARB-4_1_U14749","mef(B)_1_FJ196385","ere(A)_1_AY183453","ere(A)_5_FN396877","mdt(A)_1_X92946","catS_1_X74948","qnrVC6_1_KC202804","sul1_32_EF592571","tet(32)_1_EU722333","tet(44)_2_FN594949","tet(O)_3_Y07780","tet(Q)_4_Z21523","tet(O/W)_5_AM889122","tet(O/32/O)_5_FP929050","dfrA15_2_AF221900","dfrB1_2_AM993098","dfrA1_9_AJ238350"
"Sample_1",2893,448,11,482,1105,4,100,6,704,44,23,56,103,81,28,21,15,4,95,1287,49,37,3,16,16,21,30,4,8,152,28,17,11,10,76,21,13,13,14,16,60,54,13,6,5,521,23,6,136,7,1338,468,119,4,11,94,154,24,71,8,8,32,39,6,2,6,4,4,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_10",2398,333,17,363,1351,3,152,19,661,16,35,38,98,103,72,30,16,6,20,1444,26,17,3,0,18,14,68,0,31,92,21,11,7,35,63,2,2,6,37,7,33,34,3,3,6,872,0,6,124,4,1039,621,106,3,0,95,144,12,46,8,13,52,50,9,0,8,3,0,104,0,19,1,2,8,73,1,0,2,3,12,5,2,10,6,1,2,11,18,0,4,6,1,2,9,4,3,4,5,5,2,5,6,2,10,3,21,1,0,9,10,6,26,17,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_11",2270,273,13,365,1359,0,271,37,656,21,22,41,110,108,63,19,17,3,11,1509,7,25,2,5,10,12,81,0,12,95,19,4,5,51,70,5,3,11,43,4,32,0,12,4,3,816,5,6,109,0,1094,645,97,2,23,113,128,14,36,7,16,50,43,4,0,18,7,4,139,0,0,5,5,0,74,0,0,2,6,4,1,0,18,8,0,0,12,0,0,5,6,0,0,11,0,1,0,0,0,0,8,0,0,4,3,0,0,1,8,5,10,14,29,3,3,4,3,0,1,0,1,1,8,2,4,2,3,29,2,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_12",2817,182,17,0,1221,0,204,19,616,12,24,49,102,102,41,23,17,5,23,1298,13,13,7,0,9,12,70,0,10,60,12,7,10,45,49,13,5,8,51,2,15,20,1,1,4,643,5,5,176,0,1337,491,106,2,0,81,142,11,21,13,18,37,74,10,0,12,0,0,99,0,0,8,1,0,58,0,1,0,2,2,2,0,15,11,0,0,11,0,1,4,5,0,1,9,7,2,0,2,0,0,10,5,1,1,1,22,0,0,9,8,11,20,15,2,0,3,2,1,0,3,1,2,4,0,0,0,1,58,1,0,3,1,3,2,5,500,9,7,2,1,2,2,2,1,1,0,1,0,1,13,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_13",2131,293,10,308,1854,0,108,15,528,15,27,33,99,103,58,11,14,3,44,2105,23,36,4,0,12,42,81,0,10,142,46,16,12,23,84,13,0,6,25,2,68,0,23,12,0,586,15,3,82,0,1002,419,72,5,0,110,165,30,67,4,14,47,51,10,0,14,0,0,97,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,3,0,0,3,4,0,0,0,10,0,0,0,0,0,2,0,0,4,0,20,0,0,4,13,7,18,24,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_14",2733,263,9,382,1161,0,158,12,699,21,21,37,108,129,71,25,18,2,11,1336,11,32,3,0,16,14,80,0,10,76,13,8,4,25,76,9,3,10,24,3,27,26,3,5,2,731,1,3,149,0,1270,523,84,5,0,116,147,19,30,10,19,77,40,4,0,18,4,0,112,0,0,5,1,0,0,0,2,2,0,0,5,0,5,6,0,0,6,0,0,5,8,2,0,5,8,0,0,3,2,0,7,3,0,5,1,20,0,0,3,1,3,14,25,4,2,4,4,0,0,0,1,0,0,0,0,3,0,40,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,1,0,0,0,0,0,1,1,108,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_15",2097,231,22,324,1404,0,288,27,574,14,21,35,107,101,35,39,28,0,24,1584,20,45,0,0,15,42,66,0,13,186,41,21,15,99,115,14,4,8,117,7,71,60,6,12,9,777,0,4,86,0,914,611,76,3,0,84,128,34,106,8,25,20,83,9,0,21,9,0,171,2,0,0,5,0,0,0,0,0,0,0,6,0,15,13,0,0,7,0,0,0,5,0,0,8,10,0,0,0,0,0,11,0,0,0,0,18,0,0,8,13,0,20,23,4,0,0,0,4,0,0,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample_16",2565,242,9,0,1085,0,294,23,710,19,28,43,69,136,57,38,42,13,27,1239,39,22,3,15,19,17,73,0,12,137,37,9,17,50,70,9,2,22,57,9,56,54,0,5,0,737,0,7,108,0,1144,640,135,10,25,62,83,16,57,6,24,43,33,6,1,13,5,0,151,0,0,11,0,0,0,0,0,0,3,0,5,0,12,0,0,0,0,0,0,22,8,4,4,10,0,9,0,7,3,4,7,0,0,5,5,0,0,0,8,28,29,0,0,10,1,8,11,0,0,4,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
